Difficulty,Redo,Title,Notes,Acceptance Rate,Link,Topics,,,
MEDIUM,,Minimum Remove to Make Valid Parentheses,Stack with index then replace invalid with * then str builder to recreate correct string,0.7030447494804080,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,"String, Stack",,,
EASY,,Valid Word Abbreviation,"Two pointer approach, if character.isDigit calculate number and increment ptr",0.36654000140032000,https://leetcode.com/problems/valid-word-abbreviation,"Two Pointers, String",,,
MEDIUM,,Binary Tree Vertical Order Traversal,Hashmap of vertical order traversal,0.5668076600725640,https://leetcode.com/problems/binary-tree-vertical-order-traversal,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree",,,
MEDIUM,,Kth Largest Element in an Array,Min heap,0.6767052381110670,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",,,
EASY,N,Valid Palindrome II,Helper method non recursive,0.4257417293749830,https://leetcode.com/problems/valid-palindrome-ii,"Two Pointers, String, Greedy",,,
MEDIUM,,Basic Calculator II,"Stack, last operation and current value",0.4533781111926360,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack",,,
EASY,,Diameter of Binary Tree,maxDig set as call variables then DFS,0.6287203517441350,https://leetcode.com/problems/diameter-of-binary-tree,"Tree, Depth-First Search, Binary Tree",,,
MEDIUM,,Lowest Common Ancestor of a Binary Tree III,"Two ptrs, make sure parent ref, go upwards until ptrs are the same or if at root, switch ptr to other node",0.819993094672999,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii,"Hash Table, Two Pointers, Tree, Binary Tree",,,
MEDIUM,,Find Peak Element,Binary search checking mid and mid+1,0.4636552705531740,https://leetcode.com/problems/find-peak-element,"Array, Binary Search",,,
EASY,,Merge Sorted Array,Start from the end and work backwards,0.523533583318499,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting",,,
MEDIUM,,Subarray Sum Equals K,Hashmap and prefix sum,0.45002420526061000,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum",,,
MEDIUM,,Nested List Weight Sum,DFS keeping count of depth,0.8523919489109360,https://leetcode.com/problems/nested-list-weight-sum,"Depth-First Search, Breadth-First Search",,,
MEDIUM,,Buildings With an Ocean View,,0.8056151871027490,https://leetcode.com/problems/buildings-with-an-ocean-view,"Array, Stack, Monotonic Stack",,,
MEDIUM,,Random Pick with Weight,Prefix sum with binary search,0.482764169143506,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized",,,
MEDIUM,,Lowest Common Ancestor of a Binary Tree,"DFS, backtrack",0.6582852660296620,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree",,,
MEDIUM,,Simplify Path,Stack with string builder,0.4679831043752960,https://leetcode.com/problems/simplify-path,"String, Stack",,,
MEDIUM,,"Pow(x, n)","Recursive binary search, can do even -> n/2 and odd -> n-1/2 at each step",0.36569598302347700,https://leetcode.com/problems/powx-n,"Math, Recursion",,,
MEDIUM,N,Binary Tree Right Side View,"BFS, adding last element in each level to res ",0.6588462291750820,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",,,
EASY,,Valid Palindrome,Can use character class or check char in range ,0.502843074029796,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String",,,
MEDIUM,,Dot Product of Two Sparse Vectors,Hashmap of index to non zero,0.8991611492800750,https://leetcode.com/problems/dot-product-of-two-sparse-vectors,"Array, Hash Table, Two Pointers, Design",,,
MEDIUM,,Top K Frequent Elements,"Hashmap, freq array of array List<Integer>[]",0.6415066952135570,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect",,,
MEDIUM,N,Merge Intervals,Sort by start date then merge by setting end date to max of the two,0.48881447000372400,https://leetcode.com/problems/merge-intervals,"Array, Sorting",,,
MEDIUM,,Sum Root to Leaf Numbers,DFS,0.6799164224187580,https://leetcode.com/problems/sum-root-to-leaf-numbers,"Tree, Depth-First Search, Binary Tree",,,
EASY,,Moving Average from Data Stream,,0.7966762783872780,https://leetcode.com/problems/moving-average-from-data-stream,"Array, Design, Queue, Data Stream",,,
MEDIUM,,Copy List with Random Pointer,"Run through list first and store all else in hashmap, then run through a second time generating a new node",0.5965901759777930,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List",,,
